Year,Agency,Collection Name,OBS Gear Code,FMP Area,Reporting Area,ADFG Region,ADFG Statistical Area,Agency Species Code Type,Species Code,Species Group Code,Species Group Name,Number Animals,Weight,Record Count,Contact,Date Received from AKR
2011,ADFG,Pribilof Islands Crab Survey,6,BS,521,WESTWARD,,AKR,127,YSOL,Yellowfin Sole,21,9.719,1,"Vicki Vanek, ADFG, Vicki.vanek@alaska.gov",10/18/20 19:00
2011,ADFG,Pribilof Islands Crab Survey,6,BS,521,,,AKR,127,YSOL,Yellowfin Sole,56,25.917,1,"Vicki Vanek, ADFG, Vicki.vanek@alaska.gov",10/18/20 19:00
2011,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,508,,,AKR,127,YSOL,Yellowfin Sole,40915,11153.492,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2011,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,509,,,AKR,127,YSOL,Yellowfin Sole,58535,15022.095,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2011,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,512,,,AKR,127,YSOL,Yellowfin Sole,63958,18928.342,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2011,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,513,,,AKR,127,YSOL,Yellowfin Sole,18908,6183.942,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2011,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,514,,,AKR,127,YSOL,Yellowfin Sole,146595,36694.604,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2011,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,516,,,AKR,127,YSOL,Yellowfin Sole,39448,12413.193,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2011,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,517,,,AKR,127,YSOL,Yellowfin Sole,12,6.739,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2011,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,521,,,AKR,127,YSOL,Yellowfin Sole,1112,312.336,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2011,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,524,,,AKR,127,YSOL,Yellowfin Sole,746,185.698,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2012,ADFG,Large-Mesh Trawl Survey,1,BS,518,Westward,675332,AKR,127,YSOL,Yellowfin Sole,69,9.02,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",10/18/20 19:00
2012,ADFG,Large-Mesh Trawl Survey,1,BS,519,Westward,665335,AKR,127,YSOL,Yellowfin Sole,3,3.62,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",10/18/20 19:00
2012,NMFS,Aleutian Island Bottom Trawl Survey,1,BS,519,,,AKR,127,YSOL,Yellowfin Sole,68,28.27,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2012,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,508,,,AKR,127,YSOL,Yellowfin Sole,26447,7604.72,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2012,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,509,,,AKR,127,YSOL,Yellowfin Sole,38864,12203.94,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2012,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,512,,,AKR,127,YSOL,Yellowfin Sole,44798,14029.5,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2012,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,513,,,AKR,127,YSOL,Yellowfin Sole,16703,5840.12,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2012,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,514,,,AKR,127,YSOL,Yellowfin Sole,142544,33937.21,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2012,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,516,,,AKR,127,YSOL,Yellowfin Sole,28711,8926.08,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2012,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,517,,,AKR,127,YSOL,Yellowfin Sole,307,154.67,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2012,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,521,,,AKR,127,YSOL,Yellowfin Sole,1431,343.92,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2012,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,524,,,AKR,127,YSOL,Yellowfin Sole,1297,312.05,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2012,NMFS,Summer EBS Survey with Russia,1,BS,509,,,AKR,127,YSOL,Yellowfin Sole,13,7.02,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2012,NMFS,Summer EBS Survey with Russia,1,BS,517,,,AKR,127,YSOL,Yellowfin Sole,4,2.42,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2012,NMFS,Summer EBS Survey with Russia,1,BS,521,,,AKR,127,YSOL,Yellowfin Sole,1,0.23,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2013,ADFG,Large-Mesh Trawl Survey,1,BS,518,Westward,675332,AKR,127,YSOL,Yellowfin Sole,43,20.3,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",10/18/20 19:00
2013,ADFG,Large-Mesh Trawl Survey,1,BS,519,Westward,655406,AKR,127,YSOL,Yellowfin Sole,1,1.5,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",10/18/20 19:00
2013,ADFG,Large-Mesh Trawl Survey,1,BS,519,Westward,665336,AKR,127,YSOL,Yellowfin Sole,3,2.7,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",10/18/20 19:00
2013,IPHC,IPHC Annual Longline Survey,8,BS,517,,665430,AKR,127,YSOL,Yellowfin Sole,0,2,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",10/18/20 19:00
2013,IPHC,IPHC Annual Longline Survey,8,BS,517,,665500,AKR,127,YSOL,Yellowfin Sole,0,1,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",10/18/20 19:00
2013,IPHC,IPHC Annual Longline Survey,8,BS,517,,675430,AKR,127,YSOL,Yellowfin Sole,0,1,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",10/18/20 19:00
2013,IPHC,IPHC Annual Longline Survey,8,BS,517,,675500,AKR,127,YSOL,Yellowfin Sole,0,2,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",10/18/20 19:00
2013,IPHC,IPHC Annual Longline Survey,8,BS,519,,665401,AKR,127,YSOL,Yellowfin Sole,0,1,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",10/18/20 19:00
2013,IPHC,IPHC Annual Longline Survey,8,BS,521,,705701,AKR,127,YSOL,Yellowfin Sole,0,1,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",10/18/20 19:00
2013,IPHC,IPHC Annual Longline Survey,8,BS,521,,705703,AKR,127,YSOL,Yellowfin Sole,0,1,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",10/18/20 19:00
2013,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,508,,,AKR,127,YSOL,Yellowfin Sole,26888,7503.275,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2013,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,509,,,AKR,127,YSOL,Yellowfin Sole,22425,6562.276,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2013,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,512,,,AKR,127,YSOL,Yellowfin Sole,25351,7909.277,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2013,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,513,,,AKR,127,YSOL,Yellowfin Sole,28176,10262.961,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2013,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,514,,,AKR,127,YSOL,Yellowfin Sole,134434,36049.788,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2013,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,516,,,AKR,127,YSOL,Yellowfin Sole,21087,6241.884,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2013,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,517,,,AKR,127,YSOL,Yellowfin Sole,76,40,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2013,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,521,,,AKR,127,YSOL,Yellowfin Sole,1173,377.874,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2013,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,524,,,AKR,127,YSOL,Yellowfin Sole,414,97.059,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2014,ADFG,Large-Mesh Trawl Survey,1,BS,519,Westward,665336,AKR,127,YSOL,Yellowfin Sole,0,1.7,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",10/18/20 19:00
2014,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,508,,,AKR,127,YSOL,Yellowfin Sole,22636,5562.6,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2014,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,509,,,AKR,127,YSOL,Yellowfin Sole,35406,10633.577,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2014,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,512,,,AKR,127,YSOL,Yellowfin Sole,44938,16456.725,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2014,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,513,,,AKR,127,YSOL,Yellowfin Sole,24358,10202.341,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2014,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,514,,,AKR,127,YSOL,Yellowfin Sole,115546,31442.107,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2014,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,516,,,AKR,127,YSOL,Yellowfin Sole,20927,7017.024,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2014,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,517,,,AKR,127,YSOL,Yellowfin Sole,45,26.065,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2014,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,521,,,AKR,127,YSOL,Yellowfin Sole,3019,1002.929,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2014,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,524,,,AKR,127,YSOL,Yellowfin Sole,570,230.705,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2015,ADFG,Large-Mesh Trawl Survey,,BS,519,Westward ,655406,AKR,127,YSOL,Yellowfin Sole,4,5.952,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",10/18/20 19:00
2015,ADFG,Large-Mesh Trawl Survey,,BS,519,Westward ,665336,AKR,127,YSOL,Yellowfin Sole,5,4.251,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",10/18/20 19:00
2015,IPHC,IPHC Annual Longline Survey,9,BS,508,,,AKR,127,YSOL,Yellowfin Sole,,6,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",10/18/20 19:00
2015,IPHC,IPHC Annual Longline Survey,9,BS,509,,,AKR,127,YSOL,Yellowfin Sole,,8,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",10/18/20 19:00
2015,IPHC,IPHC Annual Longline Survey,9,BS,512,,,AKR,127,YSOL,Yellowfin Sole,,7,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",10/18/20 19:00
2015,IPHC,IPHC Annual Longline Survey,9,BS,513,,,AKR,127,YSOL,Yellowfin Sole,,10,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",10/18/20 19:00
2015,IPHC,IPHC Annual Longline Survey,9,BS,514,,,AKR,127,YSOL,Yellowfin Sole,,26,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",10/18/20 19:00
2015,IPHC,IPHC Annual Longline Survey,9,BS,517,,,AKR,127,YSOL,Yellowfin Sole,,1,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",10/18/20 19:00
2015,IPHC,IPHC Annual Longline Survey,9,BS,521,,,AKR,127,YSOL,Yellowfin Sole,,8,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",10/18/20 19:00
2015,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,508,,,AKR,127,YSOL,Yellowfin Sole,13518,4064.423,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2015,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,509,,,AKR,127,YSOL,Yellowfin Sole,17560,5744.02,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2015,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,512,,,AKR,127,YSOL,Yellowfin Sole,27660,8985.479,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2015,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,513,,,AKR,127,YSOL,Yellowfin Sole,28312,10776.054,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2015,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,514,,,AKR,127,YSOL,Yellowfin Sole,100390,26808.569,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2015,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,516,,,AKR,127,YSOL,Yellowfin Sole,21995,7240.327,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2015,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,517,,,AKR,127,YSOL,Yellowfin Sole,69,46.516,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2015,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,521,,,AKR,127,YSOL,Yellowfin Sole,1786,810.281,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2015,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,524,,,AKR,127,YSOL,Yellowfin Sole,1352,362.046,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2016,ADFG,Large-Mesh Trawl Survey,6,BS,519,Westward ,655406,AKR,127,YSOL,Yellowfin Sole,81,44.898,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",10/18/20 19:00
2016,ADFG,Large-Mesh Trawl Survey,6,BS,519,Westward ,665336,AKR,127,YSOL,Yellowfin Sole,30,14.019,1,"Kally Spalinger-Westward Region, ADFG, kally.spalinger@alaska.gov. Ken Goldman-Southcentral, ADFG, ken.goldman@alaska.gov",10/18/20 19:00
2016,ADFG,Pribilof Islands Crab Survey,6,BS,521,Westward ,,AKR,127,YSOL,Yellowfin Sole,2,0.926,1,"Vicki Vanek, ADFG, Vicki.vanek@alaska.gov",10/18/20 19:00
2016,ADFG,Pribilof Islands Crab Survey,6,BS,524,Westward ,,AKR,127,YSOL,Yellowfin Sole,3,1.388,1,"Vicki Vanek, ADFG, Vicki.vanek@alaska.gov",10/18/20 19:00
2016,IPHC,IPHC Annual Longline Survey,8,BS,521,,,AKR,127,YSOL,Yellowfin Sole,,15,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",10/18/20 19:00
2016,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,508,,,AKR,127,YSOL,Yellowfin Sole,19190,5874.531,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2016,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,509,,,AKR,127,YSOL,Yellowfin Sole,34561,10583.257,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2016,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,512,,,AKR,127,YSOL,Yellowfin Sole,33017,11218.618,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2016,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,513,,,AKR,127,YSOL,Yellowfin Sole,40123,17408.943,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2016,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,514,,,AKR,127,YSOL,Yellowfin Sole,141211,41546.018,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2016,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,516,,,AKR,127,YSOL,Yellowfin Sole,21455,7491.139,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2016,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,517,,,AKR,127,YSOL,Yellowfin Sole,417,182.471,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2016,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,521,,,AKR,127,YSOL,Yellowfin Sole,2155,1142.396,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2016,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,524,,,AKR,127,YSOL,Yellowfin Sole,5977,2347.59,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2017,ADFG,Large-Mesh Trawl Survey,1,BS,519,Westward,665335,AKR,127,YSOL,Yellowfin Sole,48,18.41,1,"Kally Spalinger, ADFG, kally.spalinger@alaska.gov",10/18/20 19:00
2017,ADFG,Large-Mesh Trawl Survey,1,BS,519,Westward,665337,AKR,127,YSOL,Yellowfin Sole,4,0.61,1,"Kally Spalinger, ADFG, kally.spalinger@alaska.gov",10/18/20 19:00
2017,ADFG,St. Matthews Crab Survey,6,BS,513,Westward,,AKR,127,YSOL,Yellowfin Sole,1,0.463,1,"Vicki Vanek, ADFG, Vicki.vanek@alaska.gov",10/18/20 19:00
2017,ADFG,St. Matthews Crab Survey,6,BS,521,Westward,,AKR,127,YSOL,Yellowfin Sole,4,1.851,1,"Vicki Vanek, ADFG, Vicki.vanek@alaska.gov",10/18/20 19:00
2017,ADFG,St. Matthews Crab Survey,6,BS,524,Westward,,AKR,127,YSOL,Yellowfin Sole,35,16.198,1,"Vicki Vanek, ADFG, Vicki.vanek@alaska.gov",10/18/20 19:00
2017,IPHC,IPHC Annual Longline Survey,8,BS,524,,,AKR,127,YSOL,Yellowfin Sole,,1,1,"Jason Gasper, NMFS, jason.gasper@noaa.gov",10/18/20 19:00
2017,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,508,,,AKR,127,YSOL,Yellowfin Sole,30803,9657.857,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2017,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,509,,,AKR,127,YSOL,Yellowfin Sole,30588,10692.425,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2017,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,512,,,AKR,127,YSOL,Yellowfin Sole,18111,6136.194,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2017,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,513,,,AKR,127,YSOL,Yellowfin Sole,40703,15578.923,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2017,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,514,,,AKR,127,YSOL,Yellowfin Sole,190159,45521.045,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2017,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,516,,,AKR,127,YSOL,Yellowfin Sole,15838,5105.261,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2017,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,517,,,AKR,127,YSOL,Yellowfin Sole,645,267.869,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2017,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,521,,,AKR,127,YSOL,Yellowfin Sole,5739,2434.158,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2017,NMFS,Eastern Bering Sea Bottom Trawl Survey,1,BS,524,,,AKR,127,YSOL,Yellowfin Sole,7216,2729.429,1,"Jeff Napp,  NMFS, jeff.napp@noaa.gov",10/18/20 19:00
2017,NMFS,Northern Bering Sea Bottom Trawl Survey,1,BS,514,,,AKR,127,YSOL,Yellowfin Sole,50139,10832.005,1,"Bob Lauth, NMFS, bob.lauth@noaa.gov",10/18/20 19:00
